"CAINC1 County personal income summary: personal income, population, per capita personal income"
"CAINC1 County personal income summary: personal income, population, per capita personal income"
County
GeoFIPS,GeoName,2022,2023,2024
01001,"Autauga, AL",2979576,3202452,3424189
01003,"Baldwin, AL",14232715,15590410,16718173
01005,"Barbour, AL",1014902,1033178,1093828
01007,"Bibb, AL",840465,886174,933750
01009,"Blount, AL",2622662,2741524,2920472
01011,"Bullock, AL",340468,367110,390130
01013,"Butler, AL",886414,920985,973413
01015,"Calhoun, AL",4940395,5234603,5510858
01017,"Chambers, AL",1348988,1423571,1485872
01019,"Cherokee, AL",1128670,1172249,1254466
01021,"Chilton, AL",1991699,2129778,2277237
01023,"Choctaw, AL",537694,560070,592372
01025,"Clarke, AL",1004188,1047675,1098412
01027,"Clay, AL",561051,560898,600339
01029,"Cleburne, AL",681131,707178,751089
01031,"Coffee, AL",2841040,2995530,3202494
01033,"Colbert, AL",2593723,2743589,2870528
01035,"Conecuh, AL",463537,480382,506797
01037,"Coosa, AL",399836,427077,450882
01039,"Covington, AL",1591524,1654918,1779540
01041,"Crenshaw, AL",634933,636831,694544
01043,"Cullman, AL",4510426,4682319,4961405
01045,"Dale, AL",2221391,2308824,2441631
01047,"Dallas, AL",1554155,1637962,1713774
01049,"DeKalb, AL",3034215,3080481,3301597
01051,"Elmore, AL",4368603,4731271,5051501
01053,"Escambia, AL",1483063,1565568,1664182
01055,"Etowah, AL",4441565,4652605,4931908
01057,"Fayette, AL",690046,691543,723544
01059,"Franklin, AL",1353944,1341396,1426402
01061,"Geneva, AL",1135431,1197892,1269062
01063,"Greene, AL",286636,296372,306677
01065,"Hale, AL",652185,695451,730501
01067,"Henry, AL",936923,966862,1027895
01069,"Houston, AL",5623055,5957210,6311941
01071,"Jackson, AL",2339423,2451574,2585644
01073,"Jefferson, AL",44950955,48021700,50063400
01075,"Lamar, AL",547037,574029,607890
01077,"Lauderdale, AL",4307752,4568957,4832246
01079,"Lawrence, AL",1458662,1507541,1584018
01081,"Lee, AL",8360193,8958158,9544687
01083,"Limestone, AL",5986392,6568331,7090561
01085,"Lowndes, AL",498208,517936,551280
01087,"Macon, AL",719916,763522,813313
01089,"Madison, AL",25267266,27345440,29227380
01091,"Marengo, AL",879478,930209,973286
01093,"Marion, AL",1264933,1325490,1383435
01095,"Marshall, AL",4684067,4934754,5231303
01097,"Mobile, AL",19894018,21197626,22225329
01099,"Monroe, AL",824872,850410,891079
01101,"Montgomery, AL",11517277,12242570,12935903
01103,"Morgan, AL",5910214,6244332,6596493
01105,"Perry, AL",317622,332023,343681
01107,"Pickens, AL",780090,802100,833098
01109,"Pike, AL",1569674,1615672,1712695
01111,"Randolph, AL",959630,977988,1048327
01113,"Russell, AL",2285229,2421840,2587102
01115,"St. Clair, AL",4529538,4879070,5319193
01117,"Shelby, AL",15527827,16704154,17582697
01119,"Sumter, AL",458729,478315,499503
01121,"Talladega, AL",3352179,3554846,3723512
01123,"Tallapoosa, AL",2010798,2140299,2243189
01125,"Tuscaloosa, AL",10009204,10678392,11263555
01127,"Walker, AL",3174147,3375853,3577564
01129,"Washington, AL",687112,714083,759103
01131,"Wilcox, AL",392442,414979,440075
01133,"Winston, AL",1033661,1070471,1128539
02010,"Aleutian Islands Census Area, AK*",(NA),(NA),(NA)
02013,"Aleutians East Borough, AK*",218775,226775,180233
02016,"Aleutians West Census Area, AK*",351961,370521,377922
02020,"Anchorage Municipality, AK",21961067,23079288,24433471
02050,"Bethel Census Area, AK*",899885,889148,924730
02060,"Bristol Bay Borough, AK",138655,140292,140031
02063,"Chugach Census Area, AK*",483528,490305,491535
02066,"Copper River Census Area, AK*",149579,161224,169064
02068,"Denali Borough, AK*",190181,207670,217890
02070,"Dillingham Census Area, AK*",287027,293375,307997
02090,"Fairbanks North Star Borough, AK",6482992,6690806,7139476
