"CAINC1 County personal income summary: personal income, population, per capita personal income"
"CAINC1 County personal income summary: personal income, population, per capita personal income"
County
GeoFIPS,GeoName,LineCode,Description,2024
01001,"Autauga, AL",1,Personal income (thousands of dollars),3424189
01001,"Autauga, AL",2,Population (persons) 1,61464
01001,"Autauga, AL",3,Per capita personal income (dollars) 2,55710
01003,"Baldwin, AL",1,Personal income (thousands of dollars),16718173
01003,"Baldwin, AL",2,Population (persons) 1,261608
01003,"Baldwin, AL",3,Per capita personal income (dollars) 2,63905
01005,"Barbour, AL",1,Personal income (thousands of dollars),1093828
01005,"Barbour, AL",2,Population (persons) 1,24358
01005,"Barbour, AL",3,Per capita personal income (dollars) 2,44906
01007,"Bibb, AL",1,Personal income (thousands of dollars),933750
01007,"Bibb, AL",2,Population (persons) 1,22258
01007,"Bibb, AL",3,Per capita personal income (dollars) 2,41951
01009,"Blount, AL",1,Personal income (thousands of dollars),2920472
01009,"Blount, AL",2,Population (persons) 1,60163
01009,"Blount, AL",3,Per capita personal income (dollars) 2,48543
01011,"Bullock, AL",1,Personal income (thousands of dollars),390130
01011,"Bullock, AL",2,Population (persons) 1,9901
01011,"Bullock, AL",3,Per capita personal income (dollars) 2,39403
01013,"Butler, AL",1,Personal income (thousands of dollars),973413
01013,"Butler, AL",2,Population (persons) 1,18256
01013,"Butler, AL",3,Per capita personal income (dollars) 2,53320
01015,"Calhoun, AL",1,Personal income (thousands of dollars),5510858
01015,"Calhoun, AL",2,Population (persons) 1,116427
01015,"Calhoun, AL",3,Per capita personal income (dollars) 2,47333
01017,"Chambers, AL",1,Personal income (thousands of dollars),1485872
01017,"Chambers, AL",2,Population (persons) 1,33813
01017,"Chambers, AL",3,Per capita personal income (dollars) 2,43944
01019,"Cherokee, AL",1,Personal income (thousands of dollars),1254466
01019,"Cherokee, AL",2,Population (persons) 1,26138
01019,"Cherokee, AL",3,Per capita personal income (dollars) 2,47994
01021,"Chilton, AL",1,Personal income (thousands of dollars),2277237
01021,"Chilton, AL",2,Population (persons) 1,47262
01021,"Chilton, AL",3,Per capita personal income (dollars) 2,48183
01023,"Choctaw, AL",1,Personal income (thousands of dollars),592372
01023,"Choctaw, AL",2,Population (persons) 1,12052
01023,"Choctaw, AL",3,Per capita personal income (dollars) 2,49151
01025,"Clarke, AL",1,Personal income (thousands of dollars),1098412
01025,"Clarke, AL",2,Population (persons) 1,22142
01025,"Clarke, AL",3,Per capita personal income (dollars) 2,49608
01027,"Clay, AL",1,Personal income (thousands of dollars),600339
01027,"Clay, AL",2,Population (persons) 1,14239
01027,"Clay, AL",3,Per capita personal income (dollars) 2,42162
01029,"Cleburne, AL",1,Personal income (thousands of dollars),751089
01029,"Cleburne, AL",2,Population (persons) 1,15905
01029,"Cleburne, AL",3,Per capita personal income (dollars) 2,47223
01031,"Coffee, AL",1,Personal income (thousands of dollars),3202494
01031,"Coffee, AL",2,Population (persons) 1,56358
01031,"Coffee, AL",3,Per capita personal income (dollars) 2,56824
01033,"Colbert, AL",1,Personal income (thousands of dollars),2870528
01033,"Colbert, AL",2,Population (persons) 1,58785
01033,"Colbert, AL",3,Per capita personal income (dollars) 2,48831
01035,"Conecuh, AL",1,Personal income (thousands of dollars),506797
01035,"Conecuh, AL",2,Population (persons) 1,11109
01035,"Conecuh, AL",3,Per capita personal income (dollars) 2,45620
01037,"Coosa, AL",1,Personal income (thousands of dollars),450882
01037,"Coosa, AL",2,Population (persons) 1,10291
01037,"Coosa, AL",3,Per capita personal income (dollars) 2,43813
01039,"Covington, AL",1,Personal income (thousands of dollars),1779540
01039,"Covington, AL",2,Population (persons) 1,37748
01039,"Covington, AL",3,Per capita personal income (dollars) 2,47143
01041,"Crenshaw, AL",1,Personal income (thousands of dollars),694544
01041,"Crenshaw, AL",2,Population (persons) 1,13114
01041,"Crenshaw, AL",3,Per capita personal income (dollars) 2,52962
01043,"Cullman, AL",1,Personal income (thousands of dollars),4961405
01043,"Cullman, AL",2,Population (persons) 1,92604
01043,"Cullman, AL",3,Per capita personal income (dollars) 2,53577
01045,"Dale, AL",1,Personal income (thousands of dollars),2441631
01045,"Dale, AL",2,Population (persons) 1,50067
01045,"Dale, AL",3,Per capita personal income (dollars) 2,48767
01047,"Dallas, AL",1,Personal income (thousands of dollars),1713774
01047,"Dallas, AL",2,Population (persons) 1,35545
01047,"Dallas, AL",3,Per capita personal income (dollars) 2,48214
01049,"DeKalb, AL",1,Personal income (thousands of dollars),3301597
01049,"DeKalb, AL",2,Population (persons) 1,73122
01049,"DeKalb, AL",3,Per capita personal income (dollars) 2,45152
01051,"Elmore, AL",1,Personal income (thousands of dollars),5051501
01051,"Elmore, AL",2,Population (persons) 1,91042
01051,"Elmore, AL",3,Per capita personal income (dollars) 2,55485
01053,"Escambia, AL",1,Personal income (thousands of dollars),1664182
01053,"Escambia, AL",2,Population (persons) 1,36630
01053,"Escambia, AL",3,Per capita personal income (dollars) 2,45432
01055,"Etowah, AL",1,Personal income (thousands of dollars),4931908
01055,"Etowah, AL",2,Population (persons) 1,103207
01055,"Etowah, AL",3,Per capita personal income (dollars) 2,47787
