soc_code,title,major_group,national_median_salary_usd,total_employment,income_pct,profession_score
11-1011,Chief Executives,11-0000,230070,490580,97.4,97.4
11-1021,General and Operations Managers,11-0000,114060,10990040,87.8,87.8
11-2011,Advertising and Promotions Managers,11-0000,143098,42180,94.0,94.0
11-2021,Marketing Managers,11-0000,167969,1105640,96.5,96.5
11-2022,Sales Managers,11-0000,150598,1835800,95.1,95.1
11-2032,Public Relations Managers,11-0000,154469,184630,95.7,95.7
11-2033,Fundraising Managers,11-0000,129663,96220,91.7,91.7
11-3012,Administrative Services Managers,11-0000,118842,722070,88.9,88.9
11-3013,Facilities Managers,11-0000,110503,403460,86.4,86.4
11-3021,Computer and Information Systems Managers,11-0000,183708,1982710,97.2,97.2
11-3031,Financial Managers,11-0000,170029,2513440,96.7,96.7
11-3051,Industrial Production Managers,11-0000,126307,692450,91.4,91.4
11-3061,Purchasing Managers,11-0000,151460,204630,95.2,95.2
11-3071,"Transportation, Storage, and Distribution Managers",11-0000,112837,592350,87.4,87.4
11-3111,Compensation and Benefits Managers,11-0000,160033,46510,96.1,96.1
11-3121,Human Resources Managers,11-0000,152788,610940,95.6,95.6
11-3131,Training and Development Managers,11-0000,141298,102200,93.9,93.9
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",11-0000,100132,10110,82.6,82.6
11-9021,Construction Managers,11-0000,115754,1183620,88.2,88.2
11-9031,"Education and Childcare Administrators, Preschool and Daycare",11-0000,60599,211720,46.5,46.5
11-9032,"Education Administrators, Kindergarten through Secondary",11-0000,114600,980830,88.0,88.0
11-9033,"Education Administrators, Postsecondary",11-0000,107507,527210,85.6,85.6
11-9039,"Education Administrators, All Other",11-0000,94665,147810,79.3,79.3
11-9041,Architectural and Engineering Managers,11-0000,176726,670750,96.9,96.9
11-9051,Food Service Managers,11-0000,69955,771880,57.4,57.4
11-9071,Gambling Managers,11-0000,90548,13590,76.9,76.9
11-9072,"Entertainment and Recreation Managers, Except Gambling",11-0000,81258,105740,69.2,69.2
11-9081,Lodging Managers,11-0000,69114,117380,56.1,56.1
11-9111,Medical and Health Services Managers,11-0000,124084,1836430,90.7,90.7
11-9121,Natural Sciences Managers,11-0000,179794,338120,97.1,97.1
11-9131,Postmasters and Mail Superintendents,11-0000,96210,41700,80.0,80.0
11-9141,"Property, Real Estate, and Community Association Managers",11-0000,71547,871410,60.0,60.0
11-9151,Social and Community Service Managers,11-0000,82503,645410,70.6,70.6
11-9161,Emergency Management Directors,11-0000,88266,31500,75.5,75.5
11-9171,Funeral Home Managers,11-0000,79568,39990,67.6,67.6
11-9179,"Personal Service Managers, All Other",11-0000,72765,18680,61.6,61.6
11-9199,"Managers, All Other",11-0000,145467,1799690,94.6,94.6
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",13-0000,93829,29990,78.6,78.6
13-1020,Buyers and Purchasing Agents,13-0000,79476,1389480,67.3,67.3
13-1031,"Claims Adjusters, Examiners, and Investigators",13-0000,77482,1172740,65.5,65.5
13-1032,"Insurance Appraisers, Auto Damage",13-0000,75330,32530,63.6,63.6
13-1041,Compliance Officers,13-0000,83659,1217820,72.3,72.3
13-1051,Cost Estimators,13-0000,80511,682800,68.4,68.4
13-1071,Human Resources Specialists,13-0000,76257,2763340,64.6,64.6
13-1075,Labor Relations Specialists,13-0000,93273,221390,78.3,78.3
13-1081,Logisticians,13-0000,86419,678900,75.2,75.2
13-1082,Project Management Specialists,13-0000,106146,3295930,84.9,84.9
13-1111,Management Analysts,13-0000,104763,2623230,84.2,84.2
13-1121,"Meeting, Convention, and Event Planners",13-0000,62515,365020,48.6,48.6
13-1131,Fundraisers,13-0000,72564,290650,61.2,61.2
13-1141,"Compensation, Benefits, and Job Analysis Specialists",13-0000,80106,287200,68.1,68.1
13-1151,Training and Development Specialists,13-0000,71196,1298360,59.1,59.1
13-1161,Market Research Analysts and Marketing Specialists,13-0000,83542,2624170,72.2,72.2
13-1199,"Business Operations Specialists, All Other",13-0000,85533,3169270,74.7,74.7
13-2011,Accountants and Auditors,13-0000,87175,4369330,75.3,75.3
13-2020,Property Appraisers and Assessors,13-0000,70627,137730,58.1,58.1
13-2031,Budget Analysts,13-0000,92912,116870,77.8,77.8
13-2041,Credit Analysts,13-0000,92471,175760,77.6,77.6
