"Employee wages by occupation, annual c 1 2 3 4"
"Frequency: Annual"
"Table: 14-10-0417-01"
"Release date: 2026-01-09"
"Geography: Canada, Province or territory"
""
""

"Geography 5","Canada",
"Wages 6","Median hourly wage rate",
"Type of work","Full-time employees 9",
"Gender 7 8","Total - Gender",
"Age group","25 to 54 years",
"National Occupational Classification (NOC) 10","2024","2025"
,"Current dollars",
"Total employees, all occupations 11","34.62","35.90"
"Management occupations 12","55.90","55.38"
"Legislative and senior management occupations","86.54","82.05"
"Specialized middle management occupations 13","59.17","59.62"
"Middle management occupations in retail and wholesale trade and customer services","43.27","40.38"
"Middle management occupations in trades, transportation, production and utilities 14","51.92","51.50"
"Business, finance and administration occupations, except management 15","32.00","33.33"
"Professional occupations in finance and business","41.03","43.00"
"Professional occupations in finance","41.13","43.59"
"Professional occupations in business","40.87","42.05"
"Administrative and financial supervisors and specialized administrative occupations","33.34","35.00"
"Administrative occupations and transportation logistics occupations","28.85","30.00"
"Administrative and financial support and supply chain logistics occupations","25.18","26.08"
"Natural and applied sciences and related occupations, except management 16","43.59","46.50"
"Professional occupations in natural and applied sciences","48.08","50.23"
"Professional occupations in natural sciences","42.00","43.96"
"Professional occupations in applied sciences (except engineering)","48.08","50.48"
"Professional occupations in engineering","50.00","51.92"
"Technical occupations related to natural and applied sciences","35.16","38.20"
"Health occupations, except management 17","36.23","37.00"
"Professional occupations in health","46.00","47.60"
"Health treating and consultation services professionals","50.00","50.48"
"Therapy and assessment professionals","47.44","49.00"
"Nursing and allied health professionals","45.00","46.16"
"Technical occupations in health","35.00","36.00"
"Assisting occupations in support of health services","25.00","26.00"
"Occupations in education, law and social, community and government services, except management 18","39.42","41.03"
"Professional occupations in law, education, social, community and government services","44.23","46.62"
"Professional occupations in law","62.50","60.10"
"Professional occupations in education services","45.00","47.12"
"Professional occupations in social and community services","38.46","40.20"
"Professional occupations in government services","43.68","46.15"
"Front-line public protection services and paraprofessional occupations in legal, social, community, education services","30.00","30.22"
"Occupations in front-line public protection services","49.09","50.85"
"Paraprofessional occupations in legal, social, community and education services","26.43","27.14"
"Assisting occupations in education and in legal and public protection","30.25","32.50"
"Care providers and public protection support occupations and student monitors, crossing guards and related occupations 19","21.00","21.00"
"Occupations in art, culture, recreation and sport, except management 20","34.00","35.90"
"Professional occupations in art and culture","39.24","41.03"
"Technical occupations in art, culture and sport","33.05","35.00"
"Occupations in art, culture and sport","28.21","32.00"
"Support occupations in art, culture and sport 21","26.00","28.00"
"Sales and service occupations, except management 22","23.08","23.90"
"Retail sales and service supervisors and specialized occupations in sales and services","26.00","26.50"
"Occupations in sales and services","24.25","24.50"
"Sales and service representatives and other customer and personal services occupations","24.36","25.00"
"Sales and service support occupations","19.50","19.50"
"Trades, transport and equipment operators and related occupations, except management 23","32.00","33.80"
"Technical trades and transportation officers and controllers","37.68","39.37"
"General trades","29.41","30.00"
"Mail and message distribution, other transport equipment operators and related maintenance workers","28.16","30.00"
"Helpers and labourers and other transport drivers, operators and labourers","24.00","25.00"
"Natural resources, agriculture and related production occupations, except management 24","30.00","32.00"
"Supervisors and occupations in natural resources, agriculture and related production 25","40.50","42.86"
"Workers and labourers in natural resources, agriculture and related production 26","24.00","25.00"
"Occupations in manufacturing and utilities, except management 27","26.44","27.00"
"Supervisors, central control and process operators in processing, manufacturing and utilities and aircraft assemblers and inspectors 28","37.50","40.13"
"Machine operators, assemblers and inspectors in processing, manufacturing and printing","25.00","25.54"
"Labourers in processing, manufacturing and utilities","20.51","22.00"


"Table Corrections:"
Date,Note
"2023-02-03","On February 3, 2023, the data for professional occupations in engineering and technical trades and transportation officers and controllers, as well as gender wage ratios were corrected."
"2024-01-17","On January 17, 2024, the order of magnitude (placement of decimal point) was corrected in gender wage ratio estimates for 2022 and 2023."



Footnotes:
1,"To ensure respondent confidentiality, estimates below a certain threshold are suppressed. For Canada, Quebec, Ontario, Alberta and British Columbia suppression is applied to all data below 1,500. The threshold level for Newfoundland and Labrador, Nova Scotia, New Brunswick, Manitoba and Saskatchewan is 500, while in Prince Edward Island, estimates under 200 are suppressed. For census metropolitan areas (CMAs) and economic regions (ERs), use their respective provincial suppression levels mentioned above. Estimates are based on smaller sample sizes the more detailed the table becomes, which could result in lower data quality."
2,"For approximate quality indicators of the estimates, see tables 7.1 or 7.2 in the <a href="http://www150.statcan.gc.ca/olc-cel/olc.action?ObjId=71-543-G&ObjType=2&lang=en&limit=0" rel="external noopener noreferrer" target="_blank">Guide to the Labour Force Survey (opens new window)</a>. For quality indicators of specific data points, contact statcan.labour-travail.statcan@canada.ca."
3,"This new table replaces archived table 14-10-0340-01."
4,"Starting in 2006, enhancements to the Labour Force Survey data processing system may have introduced a level shift in some estimates, particularly for less common labour force characteristics. Use caution when comparing estimates before and after 2006. For more information, contact statcan.labour-travail.statcan@statcan.gc.ca"
5,"Excluding the territories."
6,"Beginning January 1997, information is collected on the usual wages or salary of employees at their main job. Respondents are asked to report their wage/salary before taxes and other deductions, and include tips, commissions and bonuses. Weekly and hourly wages/salaries are calculated in conjunction with usual paid work hours per week. Starting in 2006, enhancements to the Labour Force Survey processing system have introduced a level shift in average and median wages. Use caution when comparing estimates before and after 2006. For more information, contact statcan.labour-travail.statcan@statcan.gc.ca"
7,"Gender refers to an individual's personal and social identity as a man, woman or non-binary person (a person who is not exclusively a man or a woman). Some people may not identify with a specific gender and a person's gender may change over time. Gender includes the following concepts: gender identity, which refers to the gender that a person feels internally and individually; gender expression, which refers to the way a person presents their gender, regardless of their gender identity, through body language, aesthetic choices or accessories (for example, clothes, hairstyle and makeup), which may have traditionally been associated with a specific gender. A person's gender may differ from their sex at birth, and from what is indicated on their current identification or legal documents such as their birth certificate, passport or driver's license. LFS started collecting gender of person in 2022. Prior to 2022, LFS only collected information on sex of person (male or female), as declared by the respondent or recorded by the interviewer. The sex variable prior to 2022 and the two-category gender variable since 2022 are combined in this table. Although sex and gender refer to two different concepts, the introduction of gender is not expected to have a significant impact on data analysis and historical comparability, given the small size of the transgender and non-binary populations."
8,"Given that the non-binary population is small, data aggregation to a two-category gender variable is necessary to protect the confidentiality of responses provided. Individuals in the category “non-binary persons” are distributed into the other two gender categories and are denoted by the “+” symbol. The category “Men+” includes men, as well as some non-binary persons, while the category “Women+” includes women, as well as some non-binary persons."
9,"Full-time employees are those who usually work 30 hours or more per week at their main or only job. Estimates in thousands, rounded to the nearest hundred."
10,"Occupation estimates are based on the 2021 National Occupational Classification (NOC). Occupation refers to the kind of work persons 15 years of age and over were doing during the reference week, as determined by the kind of work reported and the description of the most important duties of the job. If the individual did not have a job during the reference week, the data relate to the previous job, if that job was held in the past year."
11,"This combines the National Occupational Classification (NOC) codes 00 to 95."
12,"This combines the National Occupational Classification (NOC) codes 00, 10, 20, 30, 40, 50, 60, 70, 80, and 90."
