admin_code,admin_level,region_name_en,region_name_ja,country_iso,region_block,occupation_category,occupation_code,occupation_level,wage_value,wage_unit,currency,wage_measure,year,population,parent_admin_code,classification_system,data_availability,source,last_updated
JP-NAT,0,National,全国,JP,,Total,,total,359.6,thousand_yen_per_month,JPY,contractual_cash_earnings,2024,,,,national,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
JP-NAT,0,National,全国,JP,,Total,,total,330.4,thousand_yen_per_month,JPY,scheduled_cash_earnings,2024,,,,national,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
JP-NAT,0,National,全国,JP,,Total,,total,954.7,thousand_yen_per_month,JPY,annual_special_cash_earnings,2024,,,,national,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
01,1,Hokkaido,北海道,JP,Hokkaido,Total,,total,310.3,thousand_yen_per_month,JPY,contractual_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
01,1,Hokkaido,北海道,JP,Hokkaido,Total,,total,288.5,thousand_yen_per_month,JPY,scheduled_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
01,1,Hokkaido,北海道,JP,Hokkaido,Total,,total,722.5,thousand_yen_per_month,JPY,annual_special_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
02,1,Aomori,青森県,JP,Tohoku,Total,,total,283,thousand_yen_per_month,JPY,contractual_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
02,1,Aomori,青森県,JP,Tohoku,Total,,total,259.9,thousand_yen_per_month,JPY,scheduled_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
02,1,Aomori,青森県,JP,Tohoku,Total,,total,642.8,thousand_yen_per_month,JPY,annual_special_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
03,1,Iwate,岩手県,JP,Tohoku,Total,,total,287.6,thousand_yen_per_month,JPY,contractual_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
