admin_code,occupation_category,occupation_code,occupation_level,parent_occupation_code,wage_value,currency,wage_period,wage_measure,year,classification_system,data_availability,source,last_updated,country_iso
KR-NAT,All occupations,0,major,,4371,KRW_thousand,monthly,monthly_wage_total,2024,KSCO_7TH_MAJOR,national_only,https://laborstat.moel.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000054271&fileSn=0,2024-06-01,KR
KR-NAT,Managers,1,major,,12223,KRW_thousand,monthly,monthly_wage_total,2024,KSCO_7TH_MAJOR,national_only,https://laborstat.moel.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000054271&fileSn=0,2024-06-01,KR
KR-NAT,Professionals and related workers,2,major,,4996,KRW_thousand,monthly,monthly_wage_total,2024,KSCO_7TH_MAJOR,national_only,https://laborstat.moel.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000054271&fileSn=0,2024-06-01,KR
KR-NAT,Clerks,3,major,,4825,KRW_thousand,monthly,monthly_wage_total,2024,KSCO_7TH_MAJOR,national_only,https://laborstat.moel.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000054271&fileSn=0,2024-06-01,KR
KR-NAT,Service workers,4,major,,2226,KRW_thousand,monthly,monthly_wage_total,2024,KSCO_7TH_MAJOR,national_only,https://laborstat.moel.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000054271&fileSn=0,2024-06-01,KR
KR-NAT,Sales workers,5,major,,3956,KRW_thousand,monthly,monthly_wage_total,2024,KSCO_7TH_MAJOR,national_only,https://laborstat.moel.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000054271&fileSn=0,2024-06-01,KR
KR-NAT,"Skilled agricultural, forestry and fishery workers",6,major,,3034,KRW_thousand,monthly,monthly_wage_total,2024,KSCO_7TH_MAJOR,national_only,https://laborstat.moel.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000054271&fileSn=0,2024-06-01,KR
KR-NAT,Craft and related trades workers,7,major,,4011,KRW_thousand,monthly,monthly_wage_total,2024,KSCO_7TH_MAJOR,national_only,https://laborstat.moel.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000054271&fileSn=0,2024-06-01,KR
KR-NAT,"Equipment, machine operating and assembling workers",8,major,,4119,KRW_thousand,monthly,monthly_wage_total,2024,KSCO_7TH_MAJOR,national_only,https://laborstat.moel.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000054271&fileSn=0,2024-06-01,KR
KR-NAT,Elementary workers,9,major,,2593,KRW_thousand,monthly,monthly_wage_total,2024,KSCO_7TH_MAJOR,national_only,https://laborstat.moel.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000054271&fileSn=0,2024-06-01,KR
KR-NAT,Senior Public Officials and Senior Corporate Officials,11,medium,1,24592,KRW_thousand,monthly,monthly_wage_total,2024,KSCO_7TH_MEDIUM,national_only,https://laborstat.moel.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000054271&fileSn=0,2024-06-01,KR
KR-NAT,"Public, Business Administration, Marketing Management Occupations",12,medium,1,14185,KRW_thousand,monthly,monthly_wage_total,2024,KSCO_7TH_MEDIUM,national_only,https://laborstat.moel.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000054271&fileSn=0,2024-06-01,KR
KR-NAT,Professional Services Management Occupations,13,medium,1,11414,KRW_thousand,monthly,monthly_wage_total,2024,KSCO_7TH_MEDIUM,national_only,https://laborstat.moel.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000054271&fileSn=0,2024-06-01,KR
