country_iso,occupation_level,occupation_label,classification_system,wage_value_lcu,wage_value_ppp_intl_usd_monthly,wage_period,year,source,source_url
BGD,1,Managers,ISCO-08 major group,37690.279,1142.46,monthly,2024,Bangladesh Labour Force Survey via ILOSTAT,"https://ilostat.ilo.org/data/ (ILOSTAT indicator: Mean nominal monthly earnings of employees by sex and occupation, ISCO-08)"
BGD,2,Professionals,ISCO-08 major group,23052.79,698.77,monthly,2024,Bangladesh Labour Force Survey via ILOSTAT,"https://ilostat.ilo.org/data/ (ILOSTAT indicator: Mean nominal monthly earnings of employees by sex and occupation, ISCO-08)"
BGD,3,Technicians and associate professionals,ISCO-08 major group,22516.854,682.52,monthly,2024,Bangladesh Labour Force Survey via ILOSTAT,"https://ilostat.ilo.org/data/ (ILOSTAT indicator: Mean nominal monthly earnings of employees by sex and occupation, ISCO-08)"
BGD,4,Clerical support workers,ISCO-08 major group,22677.55,687.4,monthly,2024,Bangladesh Labour Force Survey via ILOSTAT,"https://ilostat.ilo.org/data/ (ILOSTAT indicator: Mean nominal monthly earnings of employees by sex and occupation, ISCO-08)"
BGD,5,Service and sales workers,ISCO-08 major group,14455.173,438.16,monthly,2024,Bangladesh Labour Force Survey via ILOSTAT,"https://ilostat.ilo.org/data/ (ILOSTAT indicator: Mean nominal monthly earnings of employees by sex and occupation, ISCO-08)"
BGD,6,"Skilled agricultural, forestry and fishery workers",ISCO-08 major group,12943.573,392.34,monthly,2024,Bangladesh Labour Force Survey via ILOSTAT,"https://ilostat.ilo.org/data/ (ILOSTAT indicator: Mean nominal monthly earnings of employees by sex and occupation, ISCO-08)"
BGD,7,Craft and related trades workers,ISCO-08 major group,14625.061,443.31,monthly,2024,Bangladesh Labour Force Survey via ILOSTAT,"https://ilostat.ilo.org/data/ (ILOSTAT indicator: Mean nominal monthly earnings of employees by sex and occupation, ISCO-08)"
BGD,8,Plant and machine operators and assemblers,ISCO-08 major group,15503.69,469.94,monthly,2024,Bangladesh Labour Force Survey via ILOSTAT,"https://ilostat.ilo.org/data/ (ILOSTAT indicator: Mean nominal monthly earnings of employees by sex and occupation, ISCO-08)"
BGD,9,Elementary occupations (laborers),ISCO-08 major group,10647.292,322.74,monthly,2024,Bangladesh Labour Force Survey via ILOSTAT,"https://ilostat.ilo.org/data/ (ILOSTAT indicator: Mean nominal monthly earnings of employees by sex and occupation, ISCO-08)"
BRA,1,Managers,ISCO-08 major group,8000.588,3099.21,monthly,2025,Brazil Pesquisa Nacional por Amostra de Domicílios Contínua via ILOSTAT,"https://ilostat.ilo.org/data/ (ILOSTAT indicator: Mean nominal monthly earnings of employees by sex and occupation, ISCO-08)"
