admin_code,admin_level,region_name_en,region_name_ru,country_iso,federal_district,occupation_category,occupation_code,wage_value,currency,wage_period,wage_measure,survey_type,year,population,parent_admin_code,classification_system,data_availability,source,last_updated
RU-NAT,0,Russian Federation,Российская Федерация,RU,,Total,,74854,RUB,monthly,average_monthly_nominal_accrued_wage,annual_regional_total,2023,,,OKATO_MACRO,national,https://rosstat.gov.ru/storage/mediabank/tab4-zpl-2025.xlsx,2026-07-29
RU-NAT,0,Russian Federation,Российская Федерация,RU,,Total,,89069.3,RUB,monthly,average_monthly_nominal_accrued_wage,annual_regional_total,2024,,,OKATO_MACRO,national,https://rosstat.gov.ru/storage/mediabank/tab4-zpl-2025.xlsx,2026-07-29
RU-NAT,0,Russian Federation,Российская Федерация,RU,,Total,,101784,RUB,monthly,average_monthly_nominal_accrued_wage,annual_regional_total,2025,,,OKATO_MACRO,national,https://rosstat.gov.ru/storage/mediabank/tab4-zpl-2025.xlsx,2026-07-29
RU-FD-Central,0,Central Federal District,Центральный федеральный округ,RU,Central,Total,,94239.4,RUB,monthly,average_monthly_nominal_accrued_wage,annual_regional_total,2023,,RU-NAT,OKATO_MACRO,federal_district,https://rosstat.gov.ru/storage/mediabank/tab4-zpl-2025.xlsx,2026-07-29
RU-FD-Central,0,Central Federal District,Центральный федеральный округ,RU,Central,Total,,112224.6,RUB,monthly,average_monthly_nominal_accrued_wage,annual_regional_total,2024,,RU-NAT,OKATO_MACRO,federal_district,https://rosstat.gov.ru/storage/mediabank/tab4-zpl-2025.xlsx,2026-07-29
RU-FD-Central,0,Central Federal District,Центральный федеральный округ,RU,Central,Total,,128525.4,RUB,monthly,average_monthly_nominal_accrued_wage,annual_regional_total,2025,,RU-NAT,OKATO_MACRO,federal_district,https://rosstat.gov.ru/storage/mediabank/tab4-zpl-2025.xlsx,2026-07-29
14,1,Belgorod Oblast,Белгородская область,RU,Central,Total,,54495.1,RUB,monthly,average_monthly_nominal_accrued_wage,annual_regional_total,2023,,RU-FD-Central,OKATO_FEDERAL_SUBJECT,federal_subject,https://rosstat.gov.ru/storage/mediabank/tab4-zpl-2025.xlsx,2026-07-29
14,1,Belgorod Oblast,Белгородская область,RU,Central,Total,,65822.1,RUB,monthly,average_monthly_nominal_accrued_wage,annual_regional_total,2024,,RU-FD-Central,OKATO_FEDERAL_SUBJECT,federal_subject,https://rosstat.gov.ru/storage/mediabank/tab4-zpl-2025.xlsx,2026-07-29
14,1,Belgorod Oblast,Белгородская область,RU,Central,Total,,74886.6,RUB,monthly,average_monthly_nominal_accrued_wage,annual_regional_total,2025,,RU-FD-Central,OKATO_FEDERAL_SUBJECT,federal_subject,https://rosstat.gov.ru/storage/mediabank/tab4-zpl-2025.xlsx,2026-07-29
15,1,Bryansk Oblast,Брянская область,RU,Central,Total,,48080.1,RUB,monthly,average_monthly_nominal_accrued_wage,annual_regional_total,2023,,RU-FD-Central,OKATO_FEDERAL_SUBJECT,federal_subject,https://rosstat.gov.ru/storage/mediabank/tab4-zpl-2025.xlsx,2026-07-29
