admin_code,occupation_category,occupation_code,occupation_level,wage_value,wage_type,currency,wage_period,wage_measure,year,classification_system,data_availability,source,last_updated,country_iso
SG-NAT,Total,,major,5775,gross_incl_employer_cpf,SGD,monthly,median_gross_monthly_income_incl_employer_cpf,2025,SSOC_2024_MAJOR_9CAT,national_only,https://stats.mom.gov.sg/iMAS_Tables1/LabourForce/LabourForce_2025/LFR2025_SectionC.xlsx,2026-01-01,SG
SG-NAT,PMETs,,major,7605,gross_incl_employer_cpf,SGD,monthly,median_gross_monthly_income_incl_employer_cpf,2025,SSOC_2024_MAJOR_9CAT,national_only,https://stats.mom.gov.sg/iMAS_Tables1/LabourForce/LabourForce_2025/LFR2025_SectionC.xlsx,2026-01-01,SG
SG-NAT,Managers & Administrators (incl. working proprietors),,major,11445,gross_incl_employer_cpf,SGD,monthly,median_gross_monthly_income_incl_employer_cpf,2025,SSOC_2024_MAJOR_9CAT,national_only,https://stats.mom.gov.sg/iMAS_Tables1/LabourForce/LabourForce_2025/LFR2025_SectionC.xlsx,2026-01-01,SG
SG-NAT,Professionals,,major,8758,gross_incl_employer_cpf,SGD,monthly,median_gross_monthly_income_incl_employer_cpf,2025,SSOC_2024_MAJOR_9CAT,national_only,https://stats.mom.gov.sg/iMAS_Tables1/LabourForce/LabourForce_2025/LFR2025_SectionC.xlsx,2026-01-01,SG
SG-NAT,Associate Professionals & Technicians,,major,4853,gross_incl_employer_cpf,SGD,monthly,median_gross_monthly_income_incl_employer_cpf,2025,SSOC_2024_MAJOR_9CAT,national_only,https://stats.mom.gov.sg/iMAS_Tables1/LabourForce/LabourForce_2025/LFR2025_SectionC.xlsx,2026-01-01,SG
SG-NAT,Non-PMETs,,major,3113,gross_incl_employer_cpf,SGD,monthly,median_gross_monthly_income_incl_employer_cpf,2025,SSOC_2024_MAJOR_9CAT,national_only,https://stats.mom.gov.sg/iMAS_Tables1/LabourForce/LabourForce_2025/LFR2025_SectionC.xlsx,2026-01-01,SG
SG-NAT,Clerical Support Workers,,major,3510,gross_incl_employer_cpf,SGD,monthly,median_gross_monthly_income_incl_employer_cpf,2025,SSOC_2024_MAJOR_9CAT,national_only,https://stats.mom.gov.sg/iMAS_Tables1/LabourForce/LabourForce_2025/LFR2025_SectionC.xlsx,2026-01-01,SG
SG-NAT,Service & Sales Workers,,major,3315,gross_incl_employer_cpf,SGD,monthly,median_gross_monthly_income_incl_employer_cpf,2025,SSOC_2024_MAJOR_9CAT,national_only,https://stats.mom.gov.sg/iMAS_Tables1/LabourForce/LabourForce_2025/LFR2025_SectionC.xlsx,2026-01-01,SG
SG-NAT,Craftsmen & Related Trades Workers,,major,3270,gross_incl_employer_cpf,SGD,monthly,median_gross_monthly_income_incl_employer_cpf,2025,SSOC_2024_MAJOR_9CAT,national_only,https://stats.mom.gov.sg/iMAS_Tables1/LabourForce/LabourForce_2025/LFR2025_SectionC.xlsx,2026-01-01,SG
SG-NAT,Plant & Machine Operators & Assemblers,,major,2993,gross_incl_employer_cpf,SGD,monthly,median_gross_monthly_income_incl_employer_cpf,2025,SSOC_2024_MAJOR_9CAT,national_only,https://stats.mom.gov.sg/iMAS_Tables1/LabourForce/LabourForce_2025/LFR2025_SectionC.xlsx,2026-01-01,SG
SG-NAT,"Cleaners, Labourers & Related Workers",,major,2239,gross_incl_employer_cpf,SGD,monthly,median_gross_monthly_income_incl_employer_cpf,2025,SSOC_2024_MAJOR_9CAT,national_only,https://stats.mom.gov.sg/iMAS_Tables1/LabourForce/LabourForce_2025/LFR2025_SectionC.xlsx,2026-01-01,SG
