fips,county,state,per_capita_usd_2024,income_pct,income_index,se_tier,source
13309,Wheeler,GA,26119,0.0,46.6,E,BEA CAINC1 2024
08025,Crowley,CO,27232,0.0,48.6,E,BEA CAINC1 2024
28055,Issaquena,MS,27264,0.1,48.6,E,BEA CAINC1 2024
16065,Madison,ID,29485,0.1,52.6,E,BEA CAINC1 2024
12125,Union,FL,30156,0.1,53.8,E,BEA CAINC1 2024
42053,Forest,PA,30234,0.2,53.9,E,BEA CAINC1 2024
47095,Lake,TN,31572,0.2,56.3,E,BEA CAINC1 2024
21063,Elliott,KY,31817,0.2,56.7,E,BEA CAINC1 2024
46137,Ziebach,SD,32778,0.3,58.5,E,BEA CAINC1 2024
38085,Sioux,ND,33782,0.3,60.3,E,BEA CAINC1 2024
48427,Starr,TX,34180,0.3,61.0,E,BEA CAINC1 2024
46017,Buffalo,SD,34242,0.4,61.1,E,BEA CAINC1 2024
12043,Glades,FL,34547,0.4,61.6,E,BEA CAINC1 2024
48505,Zapata,TX,34617,0.4,61.7,E,BEA CAINC1 2024
13049,Charlton,GA,34702,0.4,61.9,E,BEA CAINC1 2024
39121,Noble,OH,34940,0.5,62.3,E,BEA CAINC1 2024
08011,Bent,CO,34964,0.5,62.4,E,BEA CAINC1 2024
47067,Hancock,TN,35020,0.5,62.5,E,BEA CAINC1 2024
54101,Webster,WV,35039,0.6,62.5,E,BEA CAINC1 2024
48215,Hidalgo,TX,35290,0.6,62.9,E,BEA CAINC1 2024
13271,Telfair,GA,35685,0.6,63.6,E,BEA CAINC1 2024
28041,Greene,MS,35700,0.7,63.7,E,BEA CAINC1 2024
12027,DeSoto,FL,35938,0.7,64.1,E,BEA CAINC1 2024
05079,Lincoln,AR,36032,0.7,64.3,E,BEA CAINC1 2024
13101,Echols,GA,36076,0.8,64.3,E,BEA CAINC1 2024
35006,Cibola,NM*,36397,0.8,64.9,E,BEA CAINC1 2024
13315,Wilcox,GA,36531,0.8,65.2,E,BEA CAINC1 2024
38087,Slope,ND,36609,0.9,65.3,E,BEA CAINC1 2024
13259,Stewart,GA,36667,0.9,65.4,E,BEA CAINC1 2024
22035,East Carroll,LA,36751,0.9,65.5,E,BEA CAINC1 2024
05049,Fulton,AR,36902,1.0,65.8,E,BEA CAINC1 2024
48471,Walker,TX,36921,1.0,65.9,E,BEA CAINC1 2024
13173,Lanier,GA,36976,1.0,66.0,E,BEA CAINC1 2024
13063,Clayton,GA,36987,1.1,66.0,E,BEA CAINC1 2024
12077,Liberty,FL,37008,1.1,66.0,E,BEA CAINC1 2024
05129,Searcy,AR,37061,1.1,66.1,E,BEA CAINC1 2024
35031,McKinley,NM,37085,1.2,66.1,E,BEA CAINC1 2024
48489,Willacy,TX,37182,1.2,66.3,E,BEA CAINC1 2024
05071,Johnson,AR,37274,1.2,66.5,E,BEA CAINC1 2024
13167,Johnson,GA,37441,1.3,66.8,E,BEA CAINC1 2024
30005,Blaine,MT,37554,1.3,67.0,E,BEA CAINC1 2024
12047,Hamilton,FL,37697,1.3,67.2,E,BEA CAINC1 2024
02158,Kusilvak Census Area,AK*,37765,1.3,67.4,E,BEA CAINC1 2024
12029,Dixie,FL,37869,1.4,67.5,E,BEA CAINC1 2024
21147,McCreary,KY,37875,1.4,67.6,E,BEA CAINC1 2024
48025,Bee,TX,37902,1.4,67.6,E,BEA CAINC1 2024
12049,Hardee,FL,37993,1.5,67.8,E,BEA CAINC1 2024
13037,Calhoun,GA,38035,1.5,67.8,E,BEA CAINC1 2024
21175,Morgan,KY,38051,1.5,67.9,E,BEA CAINC1 2024
12067,Lafayette,FL,38129,1.6,68.0,E,BEA CAINC1 2024
21129,Lee,KY,38144,1.6,68.0,E,BEA CAINC1 2024
35059,Union,NM,38255,1.6,68.2,E,BEA CAINC1 2024
05123,St. Francis,AR,38259,1.7,68.2,E,BEA CAINC1 2024
21159,Martin,KY,38274,1.7,68.3,E,BEA CAINC1 2024
12123,Taylor,FL,38496,1.7,68.7,E,BEA CAINC1 2024
47007,Bledsoe,TN,38520,1.8,68.7,E,BEA CAINC1 2024
54047,McDowell,WV,38563,1.8,68.8,E,BEA CAINC1 2024
13025,Brantley,GA,38582,1.8,68.8,E,BEA CAINC1 2024
40005,Atoka,OK,38709,1.9,69.0,E,BEA CAINC1 2024
46102,Oglala Lakota,SD*,38762,1.9,69.1,E,BEA CAINC1 2024
47175,Van Buren,TN,38884,1.9,69.4,E,BEA CAINC1 2024
47069,Hardeman,TN,38952,2.0,69.5,E,BEA CAINC1 2024
13141,Hancock,GA,39071,2.0,69.7,E,BEA CAINC1 2024
49001,Beaver,UT,39179,2.0,69.9,E,BEA CAINC1 2024
05065,Izard,AR,39333,2.1,70.2,E,BEA CAINC1 2024
40141,Tillman,OK,39390,2.1,70.3,E,BEA CAINC1 2024
01011,Bullock,AL,39403,2.1,70.3,E,BEA CAINC1 2024
13055,Chattooga,GA,39446,2.2,70.4,E,BEA CAINC1 2024
26085,Lake,MI,39505,2.2,70.5,E,BEA CAINC1 2024
26095,Luce,MI,39680,2.2,70.8,E,BEA CAINC1 2024
08073,Lincoln,CO,39836,2.2,71.1,E,BEA CAINC1 2024
05137,Stone,AR,39858,2.3,71.1,E,BEA CAINC1 2024
13287,Turner,GA,39907,2.3,71.2,E,BEA CAINC1 2024
30003,Big Horn,MT,39918,2.3,71.2,E,BEA CAINC1 2024
49037,San Juan,UT,39972,2.4,71.3,E,BEA CAINC1 2024
12133,Washington,FL,39973,2.4,71.3,E,BEA CAINC1 2024
48061,Cameron,TX,39990,2.4,71.3,E,BEA CAINC1 2024
48163,Frio,TX,40109,2.5,71.5,E,BEA CAINC1 2024
13165,Jenkins,GA,40142,2.5,71.6,E,BEA CAINC1 2024
13003,Atkinson,GA,40161,2.5,71.6,E,BEA CAINC1 2024
54109,Wyoming,WV,40314,2.6,71.9,E,BEA CAINC1 2024
21169,Metcalfe,KY,40444,2.6,72.1,E,BEA CAINC1 2024
05077,Lee,AR,40453,2.6,72.2,E,BEA CAINC1 2024
21231,Wayne,KY,40460,2.7,72.2,E,BEA CAINC1 2024
29067,Douglas,MO,40515,2.7,72.3,E,BEA CAINC1 2024
46121,Todd,SD,40540,2.7,72.3,E,BEA CAINC1 2024
05089,Marion,AR,40556,2.8,72.3,E,BEA CAINC1 2024
28051,Holmes,MS,40609,2.8,72.4,E,BEA CAINC1 2024
13209,Montgomery,GA,40626,2.8,72.5,E,BEA CAINC1 2024
28017,Chickasaw,MS,40677,2.9,72.6,E,BEA CAINC1 2024
35029,Luna,NM,40780,2.9,72.7,E,BEA CAINC1 2024
37185,Warren,NC,40932,2.9,73.0,E,BEA CAINC1 2024
13197,Marion,GA,40961,3.0,73.1,E,BEA CAINC1 2024
13267,Tattnall,GA,40973,3.0,73.1,E,BEA CAINC1 2024
54043,Lincoln,WV,40995,3.0,73.1,E,BEA CAINC1 2024
29185,St. Clair,MO,40999,3.1,73.1,E,BEA CAINC1 2024
47151,Scott,TN,41001,3.1,73.1,E,BEA CAINC1 2024
48253,Jones,TX,41003,3.1,73.1,E,BEA CAINC1 2024
51183,Sussex,VA,41032,3.1,73.2,E,BEA CAINC1 2024
